Timestamp,Voltage,Current
1691983915.9175189,15.077,0.091
1691983916.3196917,15.077,0.091
1691983916.7217982,15.077,0.112
1691983917.1241448,15.075,0.091
1691983917.5265436,15.075,0.198
1691983917.9290507,15.076,0.122
1691983918.3313084,15.078,0.122
1691983918.7336879,15.077,0.122
1691983919.1359174,15.077,0.122
1691983919.538344,15.076,0.121
1691983919.940653,15.075,0.121
1691983920.3431237,15.076,0.121
1691983920.7456,15.078,0.153
1691983921.148127,15.078,0.152
1691983921.5504417,15.077,0.152
1691983921.9530501,15.075,0.152
1691983922.3556046,15.074,0.151
1691983922.7577786,15.074,0.151
1691983923.160162,15.074,0.151
1691983923.562491,15.074,0.198
1691983923.9650939,15.076,0.19
1691983924.367571,15.077,0.19
1691983924.770061,15.075,0.19
1691983925.172603,15.077,0.19
1691983925.5745652,15.077,0.19
1691983925.976681,15.075,0.19
1691983926.378891,15.075,0.19
1691983926.7814944,15.077,0.244
1691983927.1840382,15.077,0.242
1691983927.5863628,15.077,0.242
1691983927.9889643,15.075,0.242
1691983928.3916342,15.074,0.242
1691983928.793834,15.078,0.242
1691983929.1961784,15.078,0.242
1691983929.5985446,15.078,0.319
1691983930.0010579,15.076,0.315
1691983930.4033136,15.076,0.315
1691983930.8053734,15.075,0.314
1691983931.2077122,15.078,0.315
1691983931.6098547,15.078,0.315
1691983932.0120125,15.077,0.314
1691983932.4137883,15.077,0.445
1691983932.8158708,15.077,0.406
1691983933.2179587,15.077,0.406
1691983933.6203897,15.077,0.406
1691983934.0226336,15.076,0.405
1691983934.4248166,15.076,0.406
1691983934.8268485,15.077,0.405
1691983935.2289753,15.078,0.405
1691983935.6313674,15.078,0.524
1691983936.033693,15.077,0.521
1691983936.4359577,15.079,0.52
1691983936.83825,15.081,0.519
1691983937.240878,15.082,0.52
1691983937.6433647,15.082,0.52
1691983938.0459046,15.081,0.519
1691983938.4478638,15.081,0.65
1691983938.8500023,15.081,0.67
1691983939.2525122,15.081,0.667
1691983939.6547487,15.082,0.67
1691983940.056941,15.079,0.665
1691983940.4593778,15.079,0.667
1691983940.861725,15.079,0.668
1691983941.2641597,15.077,0.669
1691983941.6663008,15.076,0.881
1691983942.068518,15.075,0.83
1691983942.4708204,15.076,0.832
1691983942.8731208,15.076,0.831
1691983943.2755797,15.076,0.83
1691983943.6781049,15.076,0.827
1691983944.0806108,15.077,0.831
1691983944.4826877,15.078,1.075
1691983944.8849769,15.078,1.024
1691983945.2874908,15.078,1.022
1691983945.690097,15.077,1.024
1691983946.092556,15.078,1.025
1691983946.4948525,15.078,1.025
1691983946.897123,15.078,1.026
1691983947.299676,15.078,1.027
1691983947.7018852,15.08,1.258
1691983948.104897,15.081,1.259
1691983948.5073805,15.081,1.257
1691983948.9098244,15.08,1.257
1691983949.3122866,15.081,1.254
1691983949.7148786,15.08,1.254
1691983950.1170425,15.078,1.257
1691983950.5194318,15.08,1.47
1691983950.9219522,15.079,1.503
1691983951.324596,15.079,1.501
1691983951.7271144,15.079,1.508
1691983952.1295729,15.079,1.503
1691983952.5321598,15.079,1.505
1691983952.9347115,15.079,1.502
1691983953.3369734,15.08,1.508
1691983953.7392676,15.081,1.785
1691983954.1416502,15.08,1.789
1691983954.5440712,15.08,1.785
1691983954.9460158,15.081,1.782
1691983955.3485522,15.081,1.781
1691983955.7511384,15.08,1.785
1691983956.1534414,15.08,1.785
1691983956.5557506,15.08,2.108
1691983956.9582632,15.079,2.105
1691983957.3607879,15.081,2.098
1691983957.7630517,15.081,2.108
1691983958.165438,15.078,2.099
1691983958.567968,15.078,2.096
1691983958.9701302,15.078,2.099
1691983959.372187,15.078,2.101
1691983959.774635,15.078,2.453
1691983960.177241,15.08,2.453
1691983960.5796995,15.08,2.454
1691983960.9821517,15.08,2.455
1691983961.384774,15.08,2.456
1691983961.7873063,15.08,2.46
1691983962.1895778,15.08,2.461
1691983962.5919597,15.08,2.836
1691983962.9942687,15.081,2.839
1691983963.396595,15.08,2.83
1691983963.798771,15.08,2.832
1691983964.2013035,15.079,2.829
1691983964.6037216,15.079,2.832
1691983965.0059872,15.079,2.825
1691983965.4081652,15.079,3.102
1691983965.8106513,15.079,3.242
1691983966.2132251,15.078,3.244
1691983966.6155558,15.076,3.252
1691983967.0180125,15.076,3.242
1691983967.420361,15.077,3.249
1691983967.8224666,15.077,3.253
1691983968.224872,15.077,3.25
1691983968.6273696,15.077,3.752
1691983969.0298216,15.078,3.709
1691983969.4323497,15.078,3.715
1691983969.8345237,15.078,3.704
1691983970.2369628,15.078,3.699
1691983970.6395233,15.078,3.706
1691983971.0416627,15.08,3.709
1691983971.4439032,15.079,4.214
1691983971.846054,15.077,4.191
1691983972.2485929,15.077,4.197
1691983972.6511252,15.077,4.189
1691983973.0537386,15.077,4.199
1691983973.4562511,15.076,4.2
1691983973.8588636,15.076,4.199
1691983974.2611196,15.073,4.196
1691983974.6636167,15.074,4.715
1691983975.0659902,15.073,4.717
1691983975.4685967,15.073,4.715
1691983975.8709385,15.073,4.711
1691983976.2735538,15.073,4.706
1691983976.6760893,15.072,4.704
1691983977.0781612,15.076,4.708
1691983977.4804754,15.077,5.105
1691983977.8829029,15.077,5.282
1691983978.2852771,15.076,5.302
1691983978.6879392,15.076,5.285
1691983979.0900753,15.076,5.308
1691983979.4927077,15.077,5.303
1691983979.8945022,15.076,5.302
1691983980.2967265,15.076,5.3
1691983980.69918,15.076,5.92
1691983981.10147,15.076,5.897
1691983981.5040388,15.075,5.901
1691983981.9063733,15.076,5.876
1691983982.3089414,15.074,5.883
1691983982.7115114,15.074,5.888
1691983983.1131792,15.076,5.911
1691983983.5154407,15.076,6.055
1691983983.9177675,15.077,6.547
1691983984.31995,15.077,6.549
1691983984.7371137,15.077,6.535
1691983985.139463,15.077,6.545
1691983985.541902,15.078,6.55
1691983985.944088,15.08,6.547
1691983986.3467104,15.083,6.552
1691983986.7490208,15.081,7.213
1691983987.15118,15.083,7.223
1691983987.553715,15.082,7.234
1691983987.9562376,15.082,7.22
1691983988.3588984,15.081,7.206
1691983988.7610958,15.08,7.213
1691983989.1635983,15.08,7.23
1691983989.5659404,15.08,7.94
1691983989.9682941,15.079,7.921
1691983990.370669,15.08,7.923
1691983990.773393,15.08,7.91
1691983991.1759841,15.079,7.938
1691983991.578272,15.079,7.938
1691983991.980651,15.079,7.929
1691983992.3833518,15.079,7.929
1691983992.7856488,15.079,8.672
1691983993.1879752,15.081,8.67
1691983993.5902908,15.081,8.669
1691983993.9929085,15.081,8.678
1691983994.395414,15.081,8.659
1691983994.797759,15.082,8.668
1691983995.2000134,15.081,8.677
1691983995.6024275,15.081,9.52
1691983996.0047753,15.081,9.474
1691983996.4071867,15.082,9.496
1691983996.8096378,15.081,9.489
1691983997.2122335,15.081,9.483
1691983997.6146922,15.083,9.513
1691983998.0167596,15.083,9.482
1691983998.4191692,15.085,9.576
1691983998.8214126,15.083,10.285
1691983999.2239065,15.081,10.261
1691983999.6263325,15.08,10.265
1691984000.0291193,15.082,10.279
1691984000.431764,15.081,10.28
1691984000.8341818,15.081,10.301
1691984001.2366114,15.086,10.28
1691984001.6387916,15.086,11.134
1691984002.0411003,15.086,11.147
1691984002.4434354,15.085,11.153
1691984002.8459518,15.084,11.147
1691984003.248558,15.083,11.164
1691984003.6510787,15.084,11.182
1691984004.0534854,15.084,11.164
1691984004.4557507,15.087,11.714
1691984004.857721,15.088,12.037
1691984005.259938,15.088,12.046
1691984005.662259,15.088,12.048
1691984006.064779,15.089,12.031
1691984006.4670725,15.089,12.031
1691984006.869445,15.089,12.019
1691984007.2717745,15.089,12.03
1691984007.6738636,15.087,12.91
1691984008.0763438,15.089,12.902
1691984008.4787598,15.091,12.922
1691984008.8811266,15.089,12.911
1691984009.283664,15.091,12.91
1691984009.6859953,15.089,12.941
1691984010.0882735,15.089,12.931
1691984010.4905062,22.013,12.926
