Timestamp,Voltage,Current
1691983363.9964206,15.078,0.091
1691983364.398637,15.078,0.091
1691983364.8010151,15.079,0.091
1691983365.203589,15.077,0.104
1691983365.6058307,15.079,0.303
1691983366.0084767,15.078,0.118
1691983366.4108713,15.078,0.12
1691983366.813235,15.079,0.121
1691983367.2156255,15.079,0.121
1691983367.6179197,15.079,0.121
1691983368.020055,15.079,0.121
1691983368.422111,15.08,0.121
1691983368.8246663,15.08,0.121
1691983369.227214,15.081,0.151
1691983369.6291847,15.082,0.15
1691983370.0313854,15.082,0.15
1691983370.4337316,15.082,0.15
1691983370.8362586,15.082,0.15
1691983371.2385123,15.083,0.15
1691983371.640866,15.083,0.15
1691983372.043478,15.082,0.188
1691983372.446098,15.081,0.185
1691983372.848625,15.081,0.184
1691983373.2509537,15.081,0.184
1691983373.6536033,15.081,0.184
1691983374.0558918,15.081,0.184
1691983374.4583056,15.082,0.184
1691983374.8609195,15.081,0.184
1691983375.2634144,15.081,0.232
1691983375.6658309,15.081,0.231
1691983376.0682006,15.08,0.231
1691983376.4706535,15.08,0.231
1691983376.8731177,15.08,0.231
1691983377.2749846,15.081,0.231
1691983377.6767917,15.081,0.231
1691983378.078627,15.081,0.294
1691983378.4810286,15.081,0.292
1691983378.8835745,15.081,0.292
